,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.24,-0.05,0.06,-0.03,0.08,0.13,-0.15,0.04,-0.06
1,-0.24,1.0,-0.14,-0.24,-0.19,-0.15,0.01,-0.0,-0.08,-0.13
2,-0.05,-0.14,1.0,0.15,0.08,-0.0,0.1,-0.11,-0.04,-0.08
3,0.06,-0.24,0.15,1.0,-0.03,0.1,-0.12,-0.08,0.07,-0.01
4,-0.03,-0.19,0.08,-0.03,1.0,-0.04,-0.03,0.08,0.08,0.2
5,0.08,-0.15,-0.0,0.1,-0.04,1.0,0.04,-0.12,0.07,-0.08
6,0.13,0.01,0.1,-0.12,-0.03,0.04,1.0,-0.3,0.03,-0.15
7,-0.15,-0.0,-0.11,-0.08,0.08,-0.12,-0.3,1.0,0.01,0.18
8,0.04,-0.08,-0.04,0.07,0.08,0.07,0.03,0.01,1.0,0.07
9,-0.06,-0.13,-0.08,-0.01,0.2,-0.08,-0.15,0.18,0.07,1.0
