,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.26,0.03,0.07,-0.05,0.01,0.12,-0.14,0.01,-0.03
1,-0.26,1.0,-0.2,-0.27,-0.16,-0.06,0.03,-0.04,-0.12,-0.11
2,0.03,-0.2,1.0,0.08,0.07,-0.07,0.03,-0.06,0.03,0.04
3,0.07,-0.27,0.08,1.0,-0.02,0.14,-0.12,-0.06,0.13,-0.07
4,-0.05,-0.16,0.07,-0.02,1.0,-0.02,-0.08,0.11,0.03,0.12
5,0.01,-0.06,-0.07,0.14,-0.02,1.0,0.03,-0.09,0.01,-0.11
6,0.12,0.03,0.03,-0.12,-0.08,0.03,1.0,-0.31,0.06,-0.19
7,-0.14,-0.04,-0.06,-0.06,0.11,-0.09,-0.31,1.0,-0.01,0.2
8,0.01,-0.12,0.03,0.13,0.03,0.01,0.06,-0.01,1.0,0.03
9,-0.03,-0.11,0.04,-0.07,0.12,-0.11,-0.19,0.2,0.03,1.0
