,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.15,0.02,0.01,-0.13,-0.01,0.08,-0.14,-0.02,-0.12
1,-0.15,1.0,-0.09,-0.2,0.02,-0.11,-0.07,0.08,-0.03,0.02
2,0.02,-0.09,1.0,-0.04,-0.1,-0.19,0.06,-0.08,-0.03,-0.11
3,0.01,-0.2,-0.04,1.0,-0.14,0.12,-0.1,-0.14,0.11,-0.22
4,-0.13,0.02,-0.1,-0.14,1.0,0.04,-0.07,0.14,0.01,0.29
5,-0.01,-0.11,-0.19,0.12,0.04,1.0,-0.03,-0.04,0.17,-0.05
6,0.08,-0.07,0.06,-0.1,-0.07,-0.03,1.0,-0.15,-0.11,-0.16
7,-0.14,0.08,-0.08,-0.14,0.14,-0.04,-0.15,1.0,-0.18,0.19
8,-0.02,-0.03,-0.03,0.11,0.01,0.17,-0.11,-0.18,1.0,0.0
9,-0.12,0.02,-0.11,-0.22,0.29,-0.05,-0.16,0.19,0.0,1.0
