,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.17,-0.03,-0.15,-0.11,0.05,0.08,0.0,0.01,0.01
1,-0.17,1.0,-0.11,0.09,0.06,-0.04,-0.12,0.18,0.02,0.07
2,-0.03,-0.11,1.0,-0.17,-0.14,-0.03,0.21,-0.11,-0.06,-0.15
3,-0.15,0.09,-0.17,1.0,0.03,-0.07,-0.2,-0.15,0.01,-0.19
4,-0.11,0.06,-0.14,0.03,1.0,-0.07,-0.08,0.14,0.14,0.08
5,0.05,-0.04,-0.03,-0.07,-0.07,1.0,-0.1,0.06,0.12,0.07
6,0.08,-0.12,0.21,-0.2,-0.08,-0.1,1.0,-0.07,-0.12,-0.02
7,0.0,0.18,-0.11,-0.15,0.14,0.06,-0.07,1.0,-0.08,0.28
8,0.01,0.02,-0.06,0.01,0.14,0.12,-0.12,-0.08,1.0,0.11
9,0.01,0.07,-0.15,-0.19,0.08,0.07,-0.02,0.28,0.11,1.0
