,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.03,-0.06,-0.14,0.06,-0.08,0.03,-0.0,0.01,-0.03
1,-0.03,1.0,-0.04,0.07,-0.02,0.03,0.02,0.11,-0.05,-0.02
2,-0.06,-0.04,1.0,-0.13,0.01,0.01,-0.02,-0.03,0.02,0.01
3,-0.14,0.07,-0.13,1.0,-0.01,-0.01,-0.1,0.04,-0.09,-0.03
4,0.06,-0.02,0.01,-0.01,1.0,-0.09,0.01,-0.05,-0.01,-0.07
5,-0.08,0.03,0.01,-0.01,-0.09,1.0,-0.09,0.04,0.05,0.15
6,0.03,0.02,-0.02,-0.1,0.01,-0.09,1.0,-0.08,0.07,0.0
7,-0.0,0.11,-0.03,0.04,-0.05,0.04,-0.08,1.0,0.03,0.1
8,0.01,-0.05,0.02,-0.09,-0.01,0.05,0.07,0.03,1.0,0.14
9,-0.03,-0.02,0.01,-0.03,-0.07,0.15,0.0,0.1,0.14,1.0
