,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.13,0.07,0.05,-0.06,0.05,0.06,-0.18,-0.02,-0.13
1,-0.13,1.0,-0.24,-0.14,-0.21,-0.06,0.04,0.07,-0.06,-0.16
2,0.07,-0.24,1.0,0.09,0.05,-0.01,0.07,-0.19,0.06,-0.02
3,0.05,-0.14,0.09,1.0,0.06,-0.07,0.0,-0.24,0.07,-0.0
4,-0.06,-0.21,0.05,0.06,1.0,0.06,-0.06,0.02,0.04,0.13
5,0.05,-0.06,-0.01,-0.07,0.06,1.0,-0.02,0.04,-0.04,-0.03
6,0.06,0.04,0.07,0.0,-0.06,-0.02,1.0,-0.25,0.03,-0.13
7,-0.18,0.07,-0.19,-0.24,0.02,0.04,-0.25,1.0,0.02,0.16
8,-0.02,-0.06,0.06,0.07,0.04,-0.04,0.03,0.02,1.0,0.11
9,-0.13,-0.16,-0.02,-0.0,0.13,-0.03,-0.13,0.16,0.11,1.0
